# ELP1 — ELP2000-82B main problem, component=1 (1=longitude(sine),2=latitude(sine),3=distance(cosine, via +pi/2 phase))
# Source: Chapront-Touze M., Chapront J., Astron. Astrophys. 190, 342 (1988) and 124, 50 (1983); IMCCE ftp://ftp.imcce.fr/pub/ephem/moon/elp82b/, coefficients fitted to JPL DE200/LE200. Column layout and phase formula read directly from reference Fortran elp82b_1.
# columns: d,lp,l,f = Delaunay argument multipliers (D, l', l, F); a = amplitude (arcsec for longitude/latitude, km for distance); coef2..coef6 = partial derivatives used only for the DE200/LE200 fit correction (coef7 in the source file is read but never used by elp82b_1, dropped here)
d,lp,l,f,a,coef2,coef3,coef4,coef5,coef6
1,0,-6,0,-5e-05,0.0,0.0,0.0,0.0,-0.02
1,0,-5,-2,1e-05,0.0,0.0,0.0,0.0,0.0
1,0,-5,0,-0.00072,-0.02,0.0,-0.06,0.0,-0.28
1,0,-4,-2,9e-05,0.0,0.0,0.0,0.0,0.04
1,0,-4,0,-0.00955,-0.28,0.01,-0.7,0.0,-3.71
1,0,-4,2,2e-05,0.0,0.0,0.0,0.0,0.0
1,0,-3,-2,0.00069,0.02,0.03,0.04,0.0,0.27
1,0,-3,0,-0.12812,-3.66,0.13,-7.03,-0.05,-49.82
1,0,-3,2,0.00038,0.06,0.02,0.03,0.0,0.14
1,0,-2,-4,1e-05,0.0,0.0,0.0,0.0,0.0
1,0,-2,-2,0.00289,0.14,0.12,0.11,0.0,1.12
1,0,-2,0,-1.75296,-48.87,1.67,-64.28,-0.51,-681.6
1,0,-2,2,-0.00142,0.05,-0.07,-0.05,0.0,-0.55
1,0,-1,-4,0.00019,0.0,0.02,0.0,0.0,0.07
1,0,-1,-2,-0.02379,0.12,-1.09,-0.42,0.0,-9.25
1,0,-1,0,-18.58467,-437.66,18.91,-346.51,-1.0,-7226.22
1,0,-1,2,0.01598,0.32,0.69,0.3,0.0,6.21
1,0,-1,4,-0.00011,0.0,0.0,0.0,0.0,-0.04
1,0,0,-4,0.00123,0.01,0.11,0.0,0.0,0.48
1,0,0,-2,-0.58332,-5.89,-25.98,-0.12,0.0,-226.81
1,0,0,0,-124.98806,-2831.88,136.18,-86.6,-2.68,-48598.15
1,0,0,2,0.25429,5.73,11.11,0.26,0.0,98.87
1,0,0,4,-0.00054,-0.01,-0.05,0.0,0.0,-0.21
1,0,1,-4,0.00011,0.0,0.0,0.0,0.0,0.04
1,0,1,-2,-0.04012,-0.22,-1.8,-0.72,0.0,-15.6
1,0,1,0,-8.45308,-187.78,10.1,-158.62,0.77,-3286.75
1,0,1,2,0.0445,0.98,1.94,0.84,0.0,17.3
1,0,1,4,-0.00015,0.0,-0.01,0.0,0.0,-0.06
1,0,2,-2,-0.00077,0.03,-0.03,-0.03,0.0,-0.3
1,0,2,0,-0.58399,-12.36,0.75,-21.52,0.13,-227.07
1,0,2,2,0.0054,0.12,0.24,0.2,0.0,2.1
1,0,2,4,-3e-05,0.0,0.0,0.0,0.0,-0.01
1,0,3,-2,-6e-05,0.0,0.0,0.0,0.0,-0.02
1,0,3,0,-0.04074,-0.81,0.06,-2.24,0.02,-15.84
1,0,3,2,0.00056,0.01,0.02,0.03,0.0,0.22
1,0,4,0,-0.00285,-0.05,0.0,-0.21,0.0,-1.11
1,0,4,2,5e-05,0.0,0.0,0.0,0.0,0.02
1,0,5,0,-0.0002,0.0,0.0,-0.02,0.0,-0.08
1,0,6,0,-1e-05,0.0,0.0,0.0,0.0,0.0
1,1,-5,0,0.00011,0.0,0.0,0.01,0.0,0.04
1,1,-4,-2,-1e-05,0.0,0.0,0.0,0.0,0.0
1,1,-4,0,0.00155,0.02,0.0,0.11,0.09,0.6
1,1,-3,-2,-0.00012,0.0,0.0,0.0,0.0,-0.05
1,1,-3,0,0.02296,0.3,0.0,1.26,1.38,8.93
1,1,-3,2,-6e-05,0.02,0.0,0.0,0.0,-0.02
1,1,-2,-2,-0.00071,0.0,-0.03,-0.03,-0.04,-0.27
1,1,-2,0,0.34966,5.36,-0.11,12.83,20.95,135.95
1,1,-2,2,0.00063,0.0,0.03,0.02,0.04,0.25
1,1,-1,-2,-8e-05,0.0,0.0,0.0,0.0,-0.03
1,1,-1,0,1.07773,9.38,-1.15,21.49,64.24,418.88
1,1,-1,2,0.0,0.03,0.0,0.0,0.0,0.0
1,1,0,-2,0.00017,0.03,0.0,0.07,0.0,0.07
1,1,0,0,17.95512,6.59,-11.64,21.84,1074.24,6981.34
1,1,0,2,-0.03587,0.0,-1.58,-0.05,-2.15,-13.95
1,1,0,4,7e-05,0.0,0.0,0.0,0.0,0.03
1,1,1,-2,-0.00157,0.36,-0.04,-0.04,-0.07,-0.56
1,1,1,0,1.26186,1.83,-0.9,24.5,75.5,490.64
1,1,1,2,-0.00659,0.0,-0.29,-0.13,-0.39,-2.56
1,1,1,4,2e-05,0.0,0.0,0.0,0.0,0.0
1,1,2,-2,0.00028,0.03,0.01,0.0,0.02,0.11
1,1,2,0,0.09205,0.22,-0.07,3.46,5.51,35.79
1,1,2,2,-0.00084,0.0,-0.04,-0.03,-0.05,-0.33
1,1,3,-2,2e-05,0.0,0.0,0.0,0.0,0.0
1,1,3,0,0.00679,0.02,0.0,0.38,0.41,2.64
1,1,3,2,-9e-05,0.0,0.0,0.0,0.0,-0.04
1,1,4,0,0.0005,0.0,0.0,0.04,0.03,0.2
1,1,5,0,4e-05,0.0,0.0,0.0,0.0,0.01
1,2,-4,0,4e-05,0.0,0.0,0.0,0.0,0.01
1,2,-3,0,0.00038,0.02,0.0,0.02,0.05,0.15
1,2,-2,0,0.00361,0.16,0.0,0.13,0.43,1.4
1,2,-1,0,-0.003,-0.18,0.0,-0.05,-0.36,-1.16
1,2,-1,2,1e-05,0.0,0.0,0.0,0.0,0.0
1,2,0,-2,3e-05,0.0,0.0,0.0,0.01,0.01
1,2,0,0,-0.03968,-0.61,0.04,-0.07,-4.75,-15.43
1,2,0,2,0.00011,0.0,0.0,0.0,0.01,0.04
1,2,1,-2,2e-05,-0.01,0.0,0.0,0.0,0.0
1,2,1,0,-0.00849,-0.16,0.0,-0.17,-1.02,-3.3
1,2,1,2,5e-05,0.0,0.0,0.0,0.0,0.02
1,2,2,0,-0.00102,-0.02,0.0,-0.04,-0.12,-0.4
1,2,2,2,1e-05,0.0,0.0,0.0,0.0,0.0
1,2,3,0,-0.00011,0.0,0.0,0.0,-0.01,-0.04
1,2,4,0,-1e-05,0.0,0.0,0.0,0.0,0.0
1,3,-2,0,7e-05,0.0,0.0,0.0,0.01,0.03
1,3,-1,0,-0.00011,0.0,0.0,0.0,-0.02,-0.04
1,3,0,-2,0.0,0.02,-0.01,0.01,0.02,0.0
1,3,0,0,-0.00056,-0.01,0.0,0.0,-0.1,-0.22
1,3,1,0,-9e-05,0.0,0.0,0.0,-0.02,-0.03
1,4,0,0,-1e-05,0.0,0.0,0.0,0.0,0.0
2,-6,0,0,2e-05,0.0,0.0,0.0,0.0,0.0
2,-5,-2,0,1e-05,0.0,0.0,0.0,0.0,0.0
2,-5,-1,0,0.00027,0.0,0.0,0.0,0.08,0.0
2,-5,0,0,0.0005,0.02,0.0,0.0,0.15,0.0
2,-5,1,0,5e-05,0.0,0.0,0.0,0.01,0.0
2,-4,-3,0,2e-05,0.0,0.0,0.0,0.0,0.0
2,-4,-2,0,0.00032,0.01,0.0,0.01,0.08,0.0
2,-4,-1,0,0.00812,0.24,0.0,0.15,1.94,0.0
2,-4,-1,2,-2e-05,0.0,0.0,0.0,0.0,0.0
2,-4,0,-2,4e-05,0.0,0.0,0.0,0.0,0.0
2,-4,0,0,0.01331,0.58,0.0,0.02,3.18,0.0
2,-4,0,2,-3e-05,0.0,0.0,0.0,0.0,0.0
2,-4,1,-2,-2e-05,0.0,0.0,0.0,0.0,0.0
2,-4,1,0,0.00133,0.06,0.0,0.03,0.32,0.0
2,-4,2,0,0.00012,0.0,0.0,0.0,0.03,0.0
2,-4,3,0,1e-05,0.0,0.0,0.0,0.0,0.0
2,-3,-4,0,3e-05,0.0,0.0,0.0,0.0,0.0
2,-3,-3,0,0.00049,0.01,0.0,0.03,0.09,0.0
2,-3,-2,-2,-4e-05,0.0,0.0,0.0,0.0,0.0
2,-3,-2,0,0.00965,0.26,0.0,0.35,1.73,0.0
2,-3,-2,2,-2e-05,0.0,0.0,0.0,0.0,0.0
2,-3,-1,-2,-0.00021,0.0,0.0,0.0,-0.04,0.0
2,-3,-1,0,0.24697,6.33,-0.03,4.52,44.32,0.0
